10%,10%,
20%,20%,
30%,30%,
7-digit clinic code,7桁の医療機関コード,
8-digit insurer number (required except for 自費),8桁の保険者番号（自費を除き必須）,
About,概要,
Accomplished,完了,
Account,勘定科目,
Accounting,経理,
Acoustic Statistics,音響統計,
Active,Active,
Actual Date,実績日,
Additional Conditions,追加条件,
Additional event metadata,追加イベントメタデータ,
Advanced Trigger Settings,詳細トリガー設定,
Advised,通知済,
Advising Bank,通知銀行,
Advising Charge,通知手数料,
AI Advice,AIアドバイス,
AI Assessment,AI評価,
AI Features,AI機能,
AI-generated summary of the month,AIが生成した月次サマリー,
AI Insights,AIインサイト,
Air,航空,
Aircraft,航空機,
Air Freight,航空運賃,
Airline,航空会社,
Airline Master,航空会社マスタ,
Airline Name,航空会社名,
Airline Prefix,航空会社プレフィックス,
Airport,空港,
Airport of Departure,出発空港,
Airport of Destination,到着空港,
Air Waybill,航空運送状,
AI Summary,AI要約,
Alias,別名一致,
Aliases,別名,
All,All,
All months already have reports generated.,すべての月のレポートは生成済みです。,
Allowed,可,
Amended,修正申告,
Amended From,修正元,
Amendment Date,アメンド日,
Amendment Number,アメンド番号,
Amendments,条件変更,
Amendment Type,アメンド種別,
Amount,金額,
Amount Change,金額変更,
Amount (Company Currency),金額（会社通貨）,
Analysis Confidence,分析確信度,
Analysis Count,分析回数,
Analysis Interval (seconds),分析間隔（秒）,
Analysis Settings,分析設定,
Analysis Time (min),分析時間（分）,
Anxiety,不安,
Anxiety and uncertainty level (0-1),不安・不確実性レベル（0-1）,
Anxiety/Uncertainty,不安/不確実性,
api,api,
API Settings,API設定,
apology_phrase,apology_phrase,
Apology Phrase,謝罪フレーズ,
Applicant (Buyer),開設依頼人（買主）,
Applicant Type,開設依頼人タイプ,
Application Date,申請日,
Approved,承認済,
Archived,アーカイブ済,
Arrived,到着済,
ATA,実際入港日,
ATD,実際出港日,
Auto Compliance Check,自動コンプライアンスチェック,
Auto Create Landed Cost,ランデッドコスト自動生成,
Auto Create Shipment from Purchase Order,発注書から貿易案件を自動作成,
Auto Create Shipment from Sales Order,受注書から貿易案件を自動作成,
Automation,自動化,
Average anxiety level (0-1),平均不安レベル（0-1）,
Average cognitive load (0-1),平均認知負荷（0-1）,
Average confidence/assertiveness (0-1),平均自信/自己主張度（0-1）,
Average emotional stability (0-1),平均情緒安定性（0-1）,
Average PS score from meetings (0-1),ミーティングの平均PSスコア（0-1）,
Average silence duration in milliseconds,平均沈黙時間（ミリ秒）,
Average stress level (0-1),平均ストレスレベル（0-1）,
Avg Anxiety/Uncertainty,平均不安/不確実性,
Avg Cognitive Load,平均認知負荷,
Avg Confidence,平均自信度,
Avg Error Tolerance,平均エラー許容度,
Avg PS Score,平均PSスコア,
Avg Psychological Safety,平均心理的安全性,
Avg Respect Score,平均尊重スコア,
Avg Speak Up Score,平均発言スコア,
Avg Stability,平均安定性,
Avg Stress Load,平均ストレス負荷,
AWB Number,AWB番号,
AWB Prefix (3-digit),AWBプレフィックス（3桁）,
AWB Type,AWB種別,
Back-to-Back,バックトゥバック,
BAF,BAF,
Balance,残高,
Balance of speaking time (0-1),発言時間のバランス（0-1）,
Banks,銀行,
Basic Information,基本情報,
batch,batch,
BATCH-.YYYY.-.MM.-,BATCH-.YYYY.-.MM.-,
Beneficiary Change,受益者変更,
Beneficiary (Seller),受益者（売主）,
Beneficiary Type,受益者タイプ,
Billed,請求済,
Bill of Lading,船荷証券,
Bills of Lading,船荷証券一覧,
B/L Number,B/L番号,
Blocked,ブロック,
B/L or AWB No,B/LまたはAWB番号,
B/L Status,B/Lステータス,
B/L Type,B/L種別,
Booked,ブッキング済,
Booking Confirmed,ブッキング確認済,
Brokerage Fee,通関手数料,
Broker Name,通関業者名,
Built Year,建造年,
Bulk,ばら積み船,
Buyer,買主,
Buyer Address,買主住所,
CAF,CAF,
Cancelled,Cancelled,
Cargo,貨物,
Cargo Loaded,貨物積込,
Cargo Ready,貨物準備完了,
Cargo Ready Date,貨物準備完了日,
Carrier,運送人,
Catch-All Number,キャッチオール番号,
Certificate of Origin,原産地証明書,
CFS,CFS,
Chargeable Weight,課金重量,
Chargeable Weight (kg),課金重量（kg）,
Charges,費用,
Charge Type,費目種別,
Chart Data,チャートデータ,
chat,chat,
Check Date,チェック日時,
Checked Entity,チェック対象,
Check Type,チェック種別,
Clear,クリア,
Clinic Information,医療機関情報,
Cognitive Load,認知負荷,
Collect,着払い,
Commercial Invoice,商業送り状,
Commercial Invoice Item,商業送り状明細,
Commercial Invoices,商業送り状一覧,
Commodity,品目,
Commodity Description,品名,
Company,会社,
Company Codes,会社コード,
Company Exporter Code,会社輸出者コード,
Company Importer Code,会社輸入者コード,
Completed,完了,
Compliance Match Entry,照合マッチエントリ,
Composite score (0-100) based on all metrics,全指標に基づく総合スコア（0-100）,
Conditions,条件,
Confidence,確信度,
Confidence/Assertiveness,自信/自己主張,
Confidence level (0-1),確信度レベル（0-1）,
Confidence level of analysis (0-1),分析の確信度（0-1）,
Confirming Bank,確認銀行,
Consignee,荷受人,
Consignee Address,荷受人住所,
Consignee Name,荷受人名,
Consignee Type,荷受人タイプ,
Consumption Tax,消費税,
Consumption Tax Amount,消費税額,
Consumption Tax Rate (%),消費税率（%）,
Contact Person,担当者,
Container,コンテナ船,
Container No,コンテナ番号,
Container Pickup,コンテナピックアップ,
Container Returned,コンテナ返却,
Containers,コンテナ,
Container Type,コンテナタイプ,
CoO Item,原産地証明明細,
CoO Number,証明書番号,
CoO Type,証明書種別,
Cost Center,コストセンター,
Country,国,
Country of Destination,仕向国,
Country of Origin,原産国,
Currency,通貨,
Customer,顧客,
Customs Broker,通関業者,
Customs Cleared,通関済,
Customs & Compliance,通関・コンプライアンス,
Customs Declaration,通関申告,
Customs Declaration Item,通関申告明細,
Customs Declarations,通関申告一覧,
Customs Duty,関税,
Customs Duty Report,関税レポート,
Customs Office,所属税関,
Customs Tariff Rate,関税率マスタ,
Customs Value,課税価格,
Customs Value (CIF/FOB),課税価格（CIF/FOB）,
Customs Value (JPY),課税価格（円）,
Daily Stress Data,日次ストレスデータ,
Dangerous,危険物,
Data Retention Days,データ保持日数,
Date Listed,掲載日,
Date of Issue,発行日,
Date Removed,削除日,
Dates,日付,
Declarant,申告者,
Declarant (Customs Broker),申告者（通関業者）,
Declaration Date,申告日,
Declaration Items,申告明細,
Declaration Number,申告番号,
Declaration Type,申告種別,
Declining,低下中,
Decreasing,減少中,
Default Customs Broker,デフォルト通関業者,
Default Export Incoterm,デフォルト輸出インコタームズ,
Default Freight Forwarder,デフォルトフォワーダー,
Default Import Incoterm,デフォルト輸入インコタームズ,
Defaults,デフォルト設定,
Delivered,配達済,
Delivery Date,配達日,
Delivery Note,納品書,
Demurrage Start,デマレージ開始日,
Denied Party,取引禁止者,
Description,説明,
Description of Goods,貨物明細,
Description of what triggered this event,このイベントのトリガーの説明,
Details,詳細,
Diagnoses,診断,
Dimensions,寸法,
Dimensions (L x W x H cm),寸法（長さ x 幅 x 高さ cm）,
Discharged,荷揚済,
Disease Master,傷病マスタ,
Documentation Fee,書類作成費,
Document Date,書類日付,
